,not_blank_or_descriptive_lines
7452,"Album, how come you the hot garbage of
"
7453,"The year? It's clear your image is looped up
"
7454,"Label got you souped up, tellin' you you sick
"
7455,"When you a dick with a loose nut
"
7456,"Video hard to watch like Medusa
"
7457,"Even your club record need a booster, chimped up
"
7458,"With a pimp cup, illiterate nigga, read the infra-
"
7459,"Red across your head, I'm bred king like Simba
"
7460,"Bolder than Denver, I ain't a Madd Rapper
"
7461,"Just a emcee with a temper
"
7462,"You dancin' for money like Honey, I did this my way
"
7463,"So when the industry crash, I survive like Kanye
"
7464,"Spittin' through wires and fires, emcees retirin'
"
7465,"Got your hands up, get them motherfuckers higher then
"
7466,"N-now, th-th-throw your motherfuckin' hands
"
7467,"(Get 'em high, yeah)
"
7468,"All the girls pass the weed to your motherfuckin' man
"
7469,"(Get 'em high, mm-mm, uh-uh)
"
7470,"Now I ain't never tell you to put down your hands
"
7471,"(Keep 'em high, keep 'em high, keep 'em high, uh-uh)
"
7472,"And if you're losin' your high then smoke again
"
7473,"(Keep 'em high)
"
7474,"*Key*
"
7475,"You just popped in the Kanye West
"
7476,"Get Right for the Summer workout tape
"
7477,"And ladies if you follow these instructions exactly
"
7478,"You might be able to pull you a rapper, a NBA player
"
7479,"Man, at least a dude with a car
"
7480,"So, first of all, we gonna work on the stomach
"
7481,"Nobody wants a little tight ass
"
7482,"1, and 2, and 3, and 4, and get them sit ups right, and
"
7483,"Tuck your tummy tight and do your crunches like this
"
7484,"Give head, stop, breathe, get up, check your weave
"
7485,"Don't drop the blunt and disrespect the weed
"
7486,"Pick up your son and don't disrespect your seed
"
7487,"It's a party tonight and ooh she's so excited
"
7488,"Tell me who's invited: you, your friends and my dick
"
7489,"(AH!) What's scary to me is
"
7490,"Henny makes girls look like Halle Berry to me
"
7491,"So excuse me miss, I forgot your name
"
7492,"Thank you, God bless you, good night I came, I came, I came
"
7493,"It's been a week without me
"
7494,"And she feel weak without me
"
7495,"She wanna talk it out but
"
7496,"Ain't nothing to talk about
"
7497,"Unless she's talking about freaking out
"
7498,"Then maybe we can work it out
"
7499,"Work it out, work it out
"
7500,"Work it out, work it out now
"
7501,"Maybe we can work it out
"
7502,"Oh, girl, your silhouette make me wanna light a cigarette
"
7503,"My name Kanye from the Jigga set, Twista said ""Get It Wet""
"
7504,"Ooh girl your breath is harsh!
"
7505,"Cover your mouth up like you got SARS
"
7506,"Off them tracks yea I bought them cars
"
7507,"Still, kill a nigga on 16 bars
"
7508,"We ain't sweating to the oldies, we juking to a cold beat
"
7509,"Maybe one day girl we can bone
"
7510,"So you can brag to all your homies now
"
7511,"But I still mess with a big girl, if you ain't fit girl, I'll still hit girl
"
7512,"1 and, you brought 2 friends, ok, 3 more now hop in the Benz
"
7513,"4-door: do you know the difference between a 5, 6, 7, 8?
"
7514,"All the mocha lattes, you gotta do Pilates
"
7515,"You gotta pop this tape in before you start back dating
"
7516,"Hustlers, gangstas, all us ballas
"
7517,"It's been a week without me
"
7518,"And she feel weak without me
"
7519,"She wanna talk it out but
"
7520,"Ain't nothing to talk about
"
7521,"Unless she's talking about freaking out
"
7522,"Then maybe we can work it out
"
7523,"Work it out, work it out
"
7524,"Work it out, work it out now
"
7525,"Maybe we can work it out
"
7526,"Hi, my name is Jill, I just want to say thanks to Kanye's workout plan. I was able to pull a NBA player. And like now I shop every day on Rodeo Drive. I just want to say, thank you Kanye! Woooo! Woooo! Woooo!
"
7527,"My name is Lasandra, and I just want to say that ever since listening to Kanye's workout tape, I was able to get my phone bill paid, I got sounds and 13's put up in my Cavalier and I was able to get a free trip to Cancun. And what's most importantly is that I ain't gotta fuck with Ray-Ray's broke ass no mo'
"
7528,"Work it (mo')
"
7529,"Juke it (mo') Pump it (mo')
"
7530,"Chi-Town (mo') Let's go (mo')
"
7531,"My name is Ella-May from Mobile, Alabama, and I just want to say since listening to Kanye's workout tape, I been able to date outside the family, I got a double wide, and I rode a plane, rode a plane, rode a plane
"
7532,"Thanks to Kanye's workout plan
"
7533,"I'm the envy of all my friends
"
7534,"See I pulled me a baller man
"
7535,"And I ain't gotta work at the mall again
"
7536,"(Lemme break ya wit' a piece of)
"
7537,"My favorite work out plan (oh! oh! oh!)
"
7538,"I wanna see you work out
"
7539,"(Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)
"
7540,"I wanna see you work out
"
7541,"(It's like that old Michael Jackson shit)
"
7542,"That's right, put in work, move your ass, go berserk
"
7543,"Eat your salad, no dessert, get that man you deserve
"
7544,"It's Kanye's workout plan
"
7545,"I said it's Kanye's workout plan (Ladies and gentlemen)
"
7546,"It's Kanye's workout plan (Allow myself to introduce myself)
"
7547,"His workout plan (This time around, I want y'all to clap like this)
"
7548,"That's right, put in work
"
7549,"Move your ass, go berserk
"
7550,"Eat your salad, no dessert
"
7551,"Get that man you deserve (Stop!)
"
7552,"It's Kanye's workout plan (Okay, breathe)
"
7553,"I said it's Kanye's workout plan (I know y'all ain't tired)
"
7554,"It's Kanye's workout plan (But I hope not 'cuz on this one I need ya)
"
7555,"His workout plan (To give me a soul clap, okay?)
"
7556,"(Double time)
"
7557,"That's right, put in work (Woo!)
"
7558,"Move your ass, go berserk (Ow!)
"
7559,"Eat your salad, no dessert (Ugh!)
"
7560,"Get that man you deserve
"
7561,"That's right, put in work (Put in work)
"
7562,"Move your ass, go berserk (Go wizzerk)
"
7563,"Eat your salad, no dessert (No dessert)
"
7564,"Get that man you deserve (You hear, ugh)
"
7565,"That's right, put in work (That's right put in work)
"
7566,"Move your ass, go berserk (Go wizzerk)
"
7567,"Eat your salad, no dessert (Eat your salad, no dessert)
"
7568,"Get that man you deserve (Woo!)
"
7569,"(Okay, okay, okay, that's, that'd be good)
"
7570,"(I appreciate your time)
"
7571,"I want to see you work out for me
"
7572,"Whoa, yeah, whoa yeah
"
7573,"Do-do-do-do-do-do-do-do-do-do, yo
"
7574,"Kanye, it's Foxx, man
"
7575,"I'm just sayin' I was talkin' to the girls you know
"
7576,"And we don't put enough emphasis on the ladies sometime
"
7577,"You know, I was talkin' to this girl
"
7578,"She was talkin' about the music all fast in the club you know
"
7579,"She gotta drink water 'cause she thirsty
"
7580,"She danced like 92 hundred songs back to back
"
7581,"With ain't nobody really try to find out what she feelin'
"
7582,"Like how she feel... you know what she told me?
"
7583,"(Are you gonna be?) Check it out, this is what she said
"
7584,"(Say that you're gonna be) Ooh, ooh, ooh, ooh, oooh
"
7585,"She said she want some Marvin Gaye, some Luther Vandross
"
7586,"A little Anita will definitely set this party off right
"
7587,"(Are you gonna be, are you gonna be, are you gonna be
"
7588,"Are you gonna be, are you gonna be, well well well well)
"
7589,"She said she want some Ready for the World, some New Edition
"
7590,"Some Minnie Riperton will definitely set this party off right
"
7591,"(Are you gonna be, are you gonna be, are you gonna be
"
7592,"Are you gonna be, are you gonna be, well well well well)
"
7593,"It definitely will!
"
7594,"You know what I told her?
"
7595,"I told her to drive over in yo new whip, bring some friends you cool wit
"
7596,"I'ma bring the cool whip, then I want you to strip
"
7597,"See you is my new chick, so we get our grind on
"
7598,"She be grabbin', callin' me Biggie like Shyne home
"
7599,"Man I swear she fine homes, why she always lyin' though?
"
7600,"Tellin' me them diamonds, when she know they rhinestones
"
7601,"She got a light-skinned friend look like Michael Jackson
"
7602,"Got a dark-skinned friend look like Michael Jackson
"
7603,"I played Ready for the World, she was ready for some action
"
7604,"My dog said you ain't no freak so you 'bout to prove my man wrong
"
7605,"I'ma play this Vandross, you gon' take yo pants off
"
7606,"I'ma play this Gladys Knight, me and you gon' get right
"
7607,"She said she want some Marvin Gaye, some Luther Vandross
"
7608,"A little Anita will definitely set this party off right
"
7609,"(Are you gonna be, are you gonna be, are you gonna be
"
7610,"Are you gonna be, are you gonna be, well well well well)
"
7611,"She said she want some Ready for the World, some New Edition
"
7612,"Some Minnie Riperton will definitely set this party off right
"
7613,"(Are you gonna be, are you gonna be, are you gonna be
"
7614,"Are you gonna be, are you gonna be, well well well well)
"
7615,"Smokey Robinson, Smokey Robinson
"
7616,"Freddie Jackson, everything, everything (Well well well well)
"
7617,"Smokey Robinson, Ashford & Simpson (Are you gonna be)
"
7618,"Set the party, really set the party off right
"
7619,"Yes it will, yes it will (Well well well well)
"
7620,"Al Green, oh! Al Green, ohh yeah!
"
7621,"Oooh!!!
"
7622,"Whatcha know about the Isley Brothers?
"
7623,"Now Kanye, I know I told you to slow it down, baby
"
7624,"It's good, it's all good, it's beautiful
"
7625,"But now I need you to do it faster baby
"
7626,"Can you please? Do it faster, baby, do it faster!
"
7627,"Damn, baby; I can't do it that fast... but I know somebody who can, Twista!
"
7628,"Got you looking at the glist on my hands and wrist
"
7629,"While I'm layin' back and smoking on my cannabis
"
7630,"When it come to rockin' the rhythm like Marvin and Luther
"
7631,"I can tell you ain't no messin' with Kan Man and Twist
"
7632,"In the Chi and I be sippin' Hennessy, play some R&B
"
7633,"While I smoke a b, you can preferably find that I'm a G
"
7634,"And all this (Well well well well)
"
7635,"Come wit me and sip on some Evelyn Champagne
"
7636,"You ain't know Twista could work it like the Whispers?
"
7637,"Hit the stop light, move it to some Isleys
"
7638,"Rims still movin' so I bump a lil' Spinners
"
7639,"While I'm smoking on a b, dippin' through the streets
"
7640,"Bumpin' R&B and I got the heat on the 23's
"
7641,"And I do it (Well well well well)
"
7642,"Wit my Earth in the Wind smoking Fire
"
7643,"Let me get ya sheets wet listenin' to Keith Sweat
"
7644,"Put you in a daze wit Maze
"
7645,"Fulfilling our every temptation
"
7646,"Slow jammin', havin' deep sex
"
7647,"You ready for the world girl, come on go wit me
"
7648,"I touch you all over your body baby don't say no to me
"
7649,"And every moment be controlling me
"
7650,"I'm lovin' the way you be holdin' me when I be listenin' to Jodeci
"
7651,"And when I come over and bend ya ass
"
7652,"You be bumpin' Teddy Pendergrass
"
7653,"I done hit it from the back, to the melody and rode it slow
"
7654,"Now I got to go up in it fast, but I'ma finish last
"
7655,"No matter how much of a thug you see
"
7656,"I still spit it like it's R&B, come to the club wit' me
"
7657,"And when some Luther come on I hope you feelin' me
"
7658,"And still will be in love wit' me, Chi ride
"
7659,"She said she want some Marvin Gaye, some Luther Vandross
"
7660,"A little Anita will definitely set this party off right
"
7661,"(Are you gonna be, are you gonna be, are you gonna be
"
7662,"Are you gonna be, are you gonna be, well well well well)
"
7663,"She said she want some Ready for the World, some New Edition
"
7664,"Some Minnie Riperton will definitely set this party off right
"
7665,"(Are you gonna be, are you gonna be, are you gonna be
"
7666,"Are you gonna be, are you gonna be, well well well well)
"
7667,"She said she want some Marvin Gaye, some Luther Vandross
"
7668,"A little Anita will definitely set this party off right
"
7669,"(Are you gonna be, are you gonna be, are you gonna be
"
7670,"Are you gonna be, are you gonna be, well well well well)
"
7671,"She said she want some Ready for the World, some New Edition
"
7672,"Some Minnie Riperton will definitely set this party off right
"
7673,"(Are you gonna be, are you gonna be, are you gonna be
"
7674,"Are you gonna be, are you gonna be, well well well well)
"
7675,"Yeah, breathe in, breathe out
"
7676,"If ya iced up, pull ya sleeves out
"
7677,"Push a big truck, pull ya keys out
"
7678,"Girls go wild and pull ya D's out
"
7679,"Breathe in, breathe out
"
7680,"Let them hoes fight, pull her weave out
"
7681,"If a nigga act up, pull a Desert E's out
"
7682,"When I pull the piece out niggas like ""Peace out!""
"
7683,"Golly, more of that bullshit ice rap
"
7684,"I got to 'pologize to Mos and Kweli (probably)
"
7685,"But is it cool to rap about gold
"
7686,"If I told the world I copped it from Ghana and Mali? (Mali!)
"
7687,"First nigga with a Benz and a backpack
"
7688,"Ice chain, Carti lens, and a knapsack
"
